"p","w","t"
"0.7500000000000001","42","2810"
"0.7500000000000001","43","3400"
"0.7500000000000001","44","2890"
"0.7500000000000001","45","2740"
"0.7500000000000001","46","3800"
"0.7500000000000001","47","3890"
"0.7500000000000001","48","3640"
"0.7500000000000001","49","3840"
"0.8000000000000002","2","190"
"0.8000000000000002","3","110"
"0.8000000000000002","4","100"
"0.8000000000000002","5","190"
"0.8000000000000002","6","650"
"0.8000000000000002","7","870"
"0.8000000000000002","8","490"
"0.8000000000000002","9","1440"
"0.8000000000000002","10","1100"
"0.8000000000000002","11","1500"
"0.8000000000000002","12","860"
"0.8000000000000002","13","1510"
"0.8000000000000002","14","1070"
"0.8000000000000002","15","1790"
"0.8000000000000002","16","2190"
"0.8000000000000002","17","1610"
"0.8000000000000002","18","1940"
"0.8000000000000002","19","1810"
"0.8000000000000002","20","2850"
"0.8000000000000002","21","1880"
"0.8000000000000002","22","1980"
"0.8000000000000002","23","1880"
"0.8000000000000002","24","2030"
"0.8000000000000002","25","1950"
"0.8000000000000002","26","1640"
"0.8000000000000002","27","2590"
"0.8000000000000002","28","2920"
"0.8000000000000002","29","3760"
"0.8000000000000002","30","3380"
"0.8000000000000002","31","3880"
"0.8000000000000002","32","2820"
"0.8000000000000002","33","4040"
"0.8000000000000002","34","4090"
"0.8000000000000002","35","4670"
"0.8000000000000002","36","4180"
"0.8000000000000002","37","4260"
"0.8000000000000002","38","4690"
"0.8000000000000002","39","3510"
"0.8000000000000002","40","4310"
"0.8000000000000002","41","3650"
"0.8000000000000002","42","5150"
"0.8000000000000002","43","4360"
"0.8000000000000002","44","4080"
"0.8000000000000002","45","5570"
"0.8000000000000002","46","5500"
"0.8000000000000002","47","4480"
"0.8000000000000002","48","4460"
"0.8000000000000002","49","5700"
"0.8500000000000002","2","20"
"0.8500000000000002","3","470"
"0.8500000000000002","4","770"
"0.8500000000000002","5","410"
"0.8500000000000002","6","420"
"0.8500000000000002","7","430"
"0.8500000000000002","8","470"
"0.8500000000000002","9","1620"
"0.8500000000000002","10","1590"
"0.8500000000000002","11","1390"
"0.8500000000000002","12","910"
"0.8500000000000002","13","1180"
"0.8500000000000002","14","2590"
"0.8500000000000002","15","1700"
"0.8500000000000002","16","1830"
"0.8500000000000002","17","2990"
"0.8500000000000002","18","2840"
"0.8500000000000002","19","3800"
"0.8500000000000002","20","4120"
"0.8500000000000002","21","3170"
"0.8500000000000002","22","2770"
"0.8500000000000002","23","4770"
"0.8500000000000002","24","3400"
"0.8500000000000002","25","4460"
"0.8500000000000002","26","4520"
"0.8500000000000002","27","4990"
"0.8500000000000002","28","4430"
"0.8500000000000002","29","4610"
"0.8500000000000002","30","7860"
"0.8500000000000002","31","4710"
"0.8500000000000002","32","4460"
"0.8500000000000002","33","5490"
"0.8500000000000002","34","6200"
"0.8500000000000002","35","6440"
"0.8500000000000002","36","7370"
"0.8500000000000002","37","5140"
"0.8500000000000002","38","4860"
"0.8500000000000002","39","8550"
"0.8500000000000002","40","6630"
"0.8500000000000002","41","6370"
"0.8500000000000002","42","8660"
"0.8500000000000002","43","7540"
"0.8500000000000002","44","6740"
"0.8500000000000002","45","8770"
"0.8500000000000002","46","8530"
"0.8500000000000002","47","8880"
"0.8500000000000002","48","7900"
"0.8500000000000002","49","9550"
